citizen_collocate,n
every,138114
american,113779
citizen,71068
one,69080
states,61296
state,59555
good,59544
united,56685
man,48856
would,45905
mr,43995
new,39288
country,38032
may,37263
right,36668
city,35010
years,34428
private,33882
public,33796
law,33167
well,33082
said,32107
rights,31052
government,31017
average,29909
must,29298
upon,28424
first,26018
tho,25732
time,25217
n,24654
life,24181
become,23267
duty,23077
made,22475
prominent,21493
great,21472
l,21410
world,19219
make,19111
york,19099
e,18992
old,18447
could,18410
known,17743
j,17480
also,17381
day,16870
many,16670
ship,16593
c,16394
r,16344
free,16277
two,16011
people,15869
home,15584
shall,15481
political,15332
without,15046
county,14969
individual,14903
community,14893
lie,14471
work,14050
president,14048
born,14023
w,13975
last,13613
another,13514
much,13427
vote,13346
war,13261
part,13147
fellow,13137
citizens,12798
even,12680
senior,12402
like,12359
men,12264
died,12167
participation,11877
u,11740
year,11689
p,11471
ordinary,11413
place,11393
business,11339
h,11197
us,11131
court,11096
police,11038
take,10953
interest,10637
service,10533
became,10495
f,10338
general,10208
nation,9952
way,9948
national,9935
see,9738
naturalized,9636
property,9588
whose,9540
dr,9306
age,9277
subject,9256
long,9225
member,9225
soldier,9196
whether,9158
john,9150
mrs,9073
know,8995
never,8911
case,8887
power,8871
better,8825
tile,8791
person,8734
ho,8729
negro,8674
social,8558
liberty,8517
cannot,8491
army,8490
town,8463
ing,8365
say,8162
b,8088
fact,7820
ever,7747
name,7732
might,7709
republic,7708
give,7676
tbe,7651
today,7631
white,7615
ot,7599
german,7574
land,7467
since,7454
party,7406
present,7391
america,7382
laws,7376
society,7332
best,7282
TRUE,7209
high,7175
respected,7161
v,7156
death,7128
duties,7056
father,6979
native,6959
order,6934
given,6878
foreign,6877
full,6801
go,6799
act,6786
patriotic,6774
education,6773
question,6733
says,6731
three,6728
de,6706
called,6699
tion,6684
office,6658
constitution,6620
come,6540
th,6492
little,6481
house,6420
held,6410
chicago,6364
christian,6333
atlanta,6301
class,6295
local,6266
support,6232
st,6230
church,6221
french,6192
ago,6190
within,6183
colored,6177
action,6176
honest,6169
british,6160
however,6146
yet,6142
school,6131
committee,6126
useful,6008
able,5944
still,5920
yesterday,5888
character,5841
loyal,5823
street,5767
con,5726
among,5675
distinguished,5601
soldiers,5581
protection,5529
far,5498
matter,5495
friend,5467
groups,5450
less,5423
personal,5400
family,5398
washington,5339
citizenship,5337
young,5335
large,5332
self,5311
found,5303
worthy,5280
means,5274
use,5257
wife,5257
judge,5190
son,5185
thus,5184
call,5174
second,5159
ii,5129
let,5126
resident,5079
leading,5053
times,5003
common,4993
therefore,4922
always,4912
highly,4885
came,4859
civil,4843
making,4779
taken,4769
think,4665
equal,4623
respectable,4534
justice,4492
tax,4453
get,4453
south,4346
g,4340
days,4338
freedom,4304
intelligent,4284
wealthy,4266
though,4232
soviet,4206
system,4190
important,4187
entitled,4142
policy,4142
help,4113
military,4112
night,4107
roman,4105
pay,4095
woman,4085
sense,4079
federal,4075
honor,4021
believe,4017
officer,4011
ought,3995
services,3985
whole,3966
group,3943
per,3931
money,3916
respect,3905
done,3893
union,3891
abiding,3887
letter,3811
london,3806
need,3800
former,3780
black,3777
put,3747
district,3730
course,3677
politics,3667
board,3653
rather,3652
co,3650
living,3621
race,3612
children,3608
read,3607
company,3606
least,3603
feel,3589
kind,3583
crime,3570
active,3548
certain,3547
ill,3546
special,3540
interested,3529
spirited,3516
democratic,3514
book,3497
either,3490
find,3462
la,3453
makes,3430
official,3412
